id,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Meal course",Categories,Difficulty,Ingredients,"Ingredient Units","Nutritional elements","Nutritional Units",Status,Author,Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date","Одиниці виміру","Приставка до ціни Від",Ціна,"Статус товару","Варіанти оплати",Доставка,"Назва (підказка)","Категорія (підказка)","Ціна (підказка)","Одиниці виміру продукту (підказка)","Статус продукту (підказка)","Опис (підказка)","Теги (підказка)","Варіанти оплати (підказка)","Доставка (підказка)","Зображення (підказка)","Ширина блоку категорії","Зображення для блоку категорії","Фонове зображення категорії","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни Від","Приставка до ціни ""Від"""
1204,"В'ялені помідори ""Класичні""","Поєднують в собі насичений смак в’ялених помідорів з ароматами класичних середземноморських приправ.

Склад: помідори, олія соняшникова рафінована, олія оливкова Extra Virgin, часник, базилік, орегано, сіль.

Маса 275 г.",,20160601,recipe,http://nabazari.in.ua/product/klasichni-pimidori/,http://nabazari.in.ua/wp-content/uploads/klasychni.jpg,"В'ялені помідори ""Класичні"", Українські в'ялені помідори","В'ялені помідори ""Класичні"", Українські в'ялені помідори","В'ялені помідори ""Класичні"", Українські в'ялені помідори","В'ялені помідори ""Класичні"", Українські в'ялені помідори",,,Бакалія>Консервації,,,,,,publish,25,klasichni-pimidori,,,0,0,0,open,closed,20160914,шт,,75,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1206,"Мариновані перепелині яйця","Мариновані перепелині яйця в різних маринадах. Суперова закусочка. Яйця мариновані : з соєвим соусом і медом; з перцем чілі; з буряком.

Баночка 350 г – 20 шт яєць.

Термін маринування до споживання 48 годин. Можливі і інші варіанти маринадів: з куркумою, з травами…і т.д.",,20160601,recipe,http://nabazari.in.ua/product/marinovani-perepelini-yajcya/,http://nabazari.in.ua/wp-content/uploads/marynovani-jajcia.jpg,"Мариновані перепелині яйця","Мариновані перепелині яйця","Мариновані перепелині яйця","Мариновані перепелині яйця",,,Бакалія>Консервації,,,,,,publish,36,marinovani-perepelini-yajcya,,,0,0,0,open,closed,20160916,шт,,35,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1208,"Гарбуз ""Помпей""","Традиційна святкова страва селян зони Неаполя. По технології баклажанів Везувій. Помірної пікантності. Вимочений виключно в білому вині, НАПРЕСОВАНИЙ ЯК ДЛЯ СЕБЕ в оливковій олії з добавленням часнику, паприки та чарівних приправ.

Смакує до м`ясних, грилевих страв та морепродуктів, а також, як окрема закуска для вас та ваших гостів. А в поєднанні з бринзою, чи феттою, родзинками, курагою, волоськими та кедровими горішками, чорносливом, журавлиною, інжиром, фініками перетвориться в чудовий салат. Також може бути чудовою начинкою для піци, лазаньї, пляцка, запіканки. Надзвичайного смаку придасть краплинка бальзамічного оцту з Модени або вичавлений сік з клаптика лимону і гарбуз приємно вас здивує та поповнить колекцію ваших смаків.

Термічно оброблений та не потребуе зберігання в холодильнику. Ну про вміст вітамінів нагадувати не буду бо це головний скарб зимою та весною. Смакуйте та насолоджуйтесь на здоровля!

0,5 л – 50 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/garbuz-pompej/,http://nabazari.in.ua/wp-content/uploads/garbuz-pompei.jpg,"Гарбуз ""Помпей""","Гарбуз ""Помпей""","Гарбуз ""Помпей""","Гарбуз ""Помпей""",,,Бакалія>Консервації,,,,,,publish,12,garbuz-pompej,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1210,"Журавлина вітамінна","Хочемо вам відрекомендувати нове творіння пані Мірти – «Журавлину». Для тих, хто не знає, ця ягода унікальна, в народі її називають прямо – «ягодою здоров’я».

Антибактеріальні властивості журавлини згодяться, як профілактичний засіб від гастриту і виразки. Доведено, що люди, які регулярно споживають напої або інші страви з журавлиною, мають менший ризик отримати виразку шлунка.

Журавлина, зготована мамою кума Михайла, взагалі має подвійний ефект, якщо мислити одночасно про смак і оздоровлення. Адже, готуючи чергову новинку для Шкварки, Мірта Михайлівна вирішила відмовитися від її пастеризації, «аби з банки усі вітаміни не повискакували»!

Далі можна ще з півсотні смачних слів написати, але це все рівно нічого не дасть, бо смак цієї журавлинки просто неможливо описати, її треба скуштувати.

Ціна: 70 грн. за слоїчок 250 мл.

Доставка:

– По Україні доставка Новою поштою;
– Для львів’ян можна замовити доставку велокур’єром;
– При замовленні від 300 грн. – для львів’ян безкоштовна доставка.

&nbsp;",,20160601,recipe,http://nabazari.in.ua/product/zhuravlina-vitaminna/,http://nabazari.in.ua/wp-content/uploads/zhuravlyna.jpg,"Журавлина вітамінна, клюква витаминная","Журавлина вітамінна, клюква витаминная","Журавлина вітамінна, клюква витаминная","Журавлина вітамінна, клюква витаминная",,,Бакалія>Консервації,,,,,,publish,10,zhuravlina-vitaminna,,,0,0,0,open,closed,20160914,шт,,50,1,"готівкою|переказ на картку|накладений платіж","самовивіз|на склад компанії-перевізника|кур'єр",,,,,,,,,,,,,,,,,,,,,,,,,
1212,"Аджика ""Козак""","Міцнюща. Хто куштував мою аджику – КОЗАК – забув про язву, печію і хвороби кишкового тракту та печінки. Не потрібно ні помідорів, ні яблук, ні варіння, ні згубної для вітамінів стерилізації, всього навсього зробити, додати моїх чаріних спецій і кавказьких травичок і покласти в холодильник. Я зберігав її 10 місяців в холодильнику так як вона жива не стерилізована, але я вас запевняю у вас вона зникне за один тиждень! Насолоджуватись нею можна аж до зими, а потім і цілу зиму та весну.

Всі потрібні вітаміни у вас під боком. Про простуди можете теж забути. Ви і ваші близькі будуть завжди в тонусі і в формі. Порадуйте своїх чоловіків та хлопців і ви отримаєте в нагороду увагу, ласку, та кохання…

Ціну я взяв середню: 100 грам аджики – 10 гривень, так як кг паприки 30 грн за 1 кг, та часник – 60-75 грн за 1 кг, болг. перець – 25-35 грн за кг. Кому скільки потрібно – стільки і відміряємо, але на всякий випадок я розлив по баночках…

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/adzhika-kozak/,http://nabazari.in.ua/wp-content/uploads/adzhyka-zhyva-KOZAK.jpg,"Аджика ""Козак""","Аджика ""Козак""","Аджика ""Козак""","Аджика ""Козак""",,,Бакалія>Консервації,,,,,,publish,12,adzhika-kozak,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1214,"Помідорки ""Бусинки""","Помідорчики – СЛИВОВІ БУСИНКИ – в чарівному маринаді!

Локація: Сихів, Спортлайф.

По можливості – баночки на заміну. Дякую.",,20160601,recipe,http://nabazari.in.ua/product/pomidorki-businki/,http://nabazari.in.ua/wp-content/uploads/slyvovi-busynky.jpg,"Помідорки ""Бусинки""","Помідорки ""Бусинки""","Помідорки ""Бусинки""","Помідорки ""Бусинки""",,,Бакалія>Консервації,,,,,,publish,12,pomidorki-businki,,,0,0,0,open,closed,20160914,шт,,40,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1216,"Пекельний перець зелений","Ми знову його зробили. І будемо робити знов і знов. Аби перців стало. Капсаіцинова амброзія. Такий же гострий як взимку, у консистенції соусу. Це перець чилі, спочатку підсмажений на грилі, потім закопчений на дубових дровах, з додаванням часнику і пари секретних інгредієнтів. Все для того, щоб зберегти природний аромат і гостроту.

Стане в пригоді для поціновувачів гострого і в приготуванні страв, де аромат копчення є затребуваний.

Ціна: 50 грн. за слоїчок 250 грамів.

Доставка:

– По Україні доставка Новою поштою;
– Для львів’ян можна замовити доставку велокур’єром;
– При замовленні від 300 грн. – для львів’ян безкоштовна доставка.

&nbsp;",,20160601,recipe,http://nabazari.in.ua/product/pekelnij-perec-zelenij/,http://nabazari.in.ua/wp-content/uploads/perec-zelenuj.png,"Пекельний перець зелений, перец острый","Пекельний перець зелений, перец острый","Пекельний перець зелений, перец острый","Пекельний перець зелений, перец острый",,,Бакалія>Консервації,,,,,,publish,10,pekelnij-perec-zelenij,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1218,"Баклажани ""Помпей"" гриль","Все по технології ВЕЗУВІЯ. Вимочені виключно в білому вині, в міксі оливково-соняшникової олії. Грильовані як ви бачите за слідами від розпеченої решітки, з шкірочкою та без.

НАПРЕСОВАНІ ЯК ДЛЯ СЕБЕ, в міру пікантні. Переважає часниковий смак, видушений лимончик чи краплина бальзамічного оцту зверху підкреслить його неповторний смак. Також може бути чудовою начинкою для піци, лазаньї, пляцка, запіканки.
Термічно оброблені, так що зберігаються на зиму, як звичайна закруточка- в прохолодному місці.

Банка 0,5 л – 50 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/baklazhani-pompej-gril/,http://nabazari.in.ua/wp-content/uploads/baklazhan-pompei-grill.jpg,"Баклажани ""Помпей"" гриль","Баклажани ""Помпей"" гриль","Баклажани ""Помпей"" гриль","Баклажани ""Помпей"" гриль",,,Бакалія>Консервації,,,,,,publish,12,baklazhani-pompej-gril,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1220,"Баклажани ""Везувій""","Баклажани ВЕЗУВІЙ – традиційна святкова пікантна закуска селян зони Неаполя. Вимочений виключно в білому вині та заправлений часником та перцем чілі, травами цього регіону, ПРЕСОВАНИЙ в оливковій олії, живий не стерилізований.
Відмінно підходить до м’ясних блюд любого типу: грилю, барбекю та морепродуктів. Також може бути чудовою начинкою для піци, лазаньї, пляцка, запіканки. Займає перше місце серед овочів по виведенню радіонуклідів та канцерогенів з організму, а також володіє… властивостями чудового антиоксидант .

Мої козаки шаленіють коли з шашликом чи мясом гриль я їх пригощаю цїєю закусочкою. Це моє особисте враження про це чудо, тому я з задоволенням навчався його приготуванню у італійських справжніх господинь перебуваючи в Неаполі. Він не займе багато місця в вашому холодильнику і може зберігатись більше року. Чим довше він зберігається тим кращим робиться його смак!

Баночки 0,5 л – 50 грн.,
0,92 л – 92 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/baklazhani-vezuvij/,http://nabazari.in.ua/wp-content/uploads/baklazhany-VEZUVIJ.jpg,"Баклажани ""Везувій""","Баклажани ""Везувій""","Баклажани ""Везувій""","Баклажани ""Везувій""",,,Бакалія>Консервації,,,,,,publish,12,baklazhani-vezuvij,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1222,"Баклажани ""Помпей"" гриль в аджиці","Все по технології ВЕЗУВІЯ, тільки в чарівній аджиці помірної пікантності, ну так як ви дівчатка любите. Вимочені виключно в білому вині. Грильовані як ви бачите за слідами від розпеченої решітки. НАПРЕСОВАНІ ЯК ДЛЯ СЕБЕ. В міру пікантні, переважає часниковий смак.

Також може бути чудовою начинкою для піци, лазаньї, пляцка, запіканки. Термічно оброблені, так що зберігаються на зиму як звичайна закруточка в прохолодному місці.

Баночки по 0,5 л – 50 грн.
0,9 л – 90 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/baklazhani-pompej-gril-v-adzhici/,http://nabazari.in.ua/wp-content/uploads/adzhyka-baklazhan.jpg,"Баклажани ""Помпей"" гриль в аджиці","Баклажани ""Помпей"" гриль в аджиці","Баклажани ""Помпей"" гриль в аджиці","Баклажани ""Помпей"" гриль в аджиці",,,Бакалія>Консервації,,,,,,publish,12,baklazhani-pompej-gril-v-adzhici,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1224,"Перець ""Язичок""","Закуска ЯЗИЧОК — перчик з часничком в чарівному маринаді. Незабутній натуральний смак!",,20160601,recipe,http://nabazari.in.ua/product/perec-yazichok/,http://nabazari.in.ua/wp-content/uploads/YAZYCHOK-zakuska.jpg,"Перець ""Язичок""","Перець ""Язичок""","Перець ""Язичок""","Перець ""Язичок""",,,Бакалія>Консервації,,,,,,publish,12,perec-yazichok,,,0,0,0,open,closed,20160914,шт,,50,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1226,"Закуска ""Козачок""","Огірочки з перцем в часниковому маринаді (на фото справа) – Запасики на довгу і холодну зиму.

Салатик ВЕСЕЛКА – огірочки, перчик, чибулька в чарівному маринадику.

Баночки 0,5 л – 30 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/zakuska-kozachok/,http://nabazari.in.ua/wp-content/uploads/kozachok-zakuska-gostra.jpg,"Закуска ""Козачок""","Закуска ""Козачок""","Закуска ""Козачок""","Закуска ""Козачок""",,,Бакалія>Консервації,,,,,,publish,12,zakuska-kozachok,,,0,0,0,open,closed,20160914,шт,,30,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1228,"Закуска ""Гопак""","Закуска ""Гопак"" – для справжніх козаків. Папричка, часничок, цибулька, козацькі трави. Зимою зігріє всіх. Відступлять всі хвороби!",,20160601,recipe,http://nabazari.in.ua/product/zakuska-gopak/,http://nabazari.in.ua/wp-content/uploads/gopak-zakuska.jpg,"Закуска ""Гопак""","Закуска ""Гопак""","Закуска ""Гопак""","Закуска ""Гопак""",,,Бакалія>Консервації,,,,,,publish,12,zakuska-gopak,,,0,0,0,open,closed,20160914,шт,,60,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1230,"Перці ""Характерники""","Перці ""Характерники"" з часником. Гострі як шабелюки козацькі. Для ваших мужчин саме те що треба. На вечерю перчик і зранку як нова копійка і ніяких застуд та вірусів.

0,72 л – 70 грн.
1,5 л – 100 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/perci-xarakterniki/,http://nabazari.in.ua/wp-content/uploads/perci-harakternyky.jpg,"Перці ""Характерники""","Перці ""Характерники""","Перці ""Характерники""","Перці ""Характерники""",,,Бакалія>Консервації,,,,,,publish,12,perci-xarakterniki,,,0,0,0,open,closed,20160916,шт,,70,1,готівкою,самовивіз,,,,,,,,,,,,,,,,,,,,,,,,,
1232,"Баклажани-гриль по корейськи","Для поціновувачів і гурманів східної кухні. Вимочені виключно в білому вині. Грильовані як ви бачите за слідами від розпеченої решітки, в міру госренькі, гарненько НАПРЕСОВАНІ, як для себе…

Прекрасна готова закуска виручить вас в самий несподіваний для вас момент. Ви та ваші гості отримають масу задоволення від вишуканого та незвичайного смаку. Також може бути чудовою начинкою для піци, лазаньї, пляцка, запіканки. Термічно оброблені і не вимагають зберігання в холодильнику.

0,5 л- 50 грн.

0,72 л – 70 грн.

Локація: Сихів, Спортлайф.",,20160601,recipe,http://nabazari.in.ua/product/baklazhani-gril-po-korejski/,http://nabazari.in.ua/wp-content/uploads/baklazhan-gril-1.jpg|http://nabazari.in.ua/wp-content/uploads/V-zalivke.jpg|http://nabazari.in.ua/wp-content/uploads/lecho-iz-baklazhanov-1.jpg|http://nabazari.in.ua/wp-content/uploads/L-wAtPjz.jpeg|http://nabazari.in.ua/wp-content/uploads/jarenie_baklajani_na_zimu_bez_sterilizacii-207124.jpg|http://nabazari.in.ua/wp-content/uploads/c91bee6e853a20a84dcd3e434da844a9.jpg|http://nabazari.in.ua/wp-content/uploads/baklagani-v-adgike-1.jpg|http://nabazari.in.ua/wp-content/uploads/baklazhan-gril.jpg,"Баклажани гриль по корейськи|V-zalivke|lecho-iz-baklazhanov-1|-L-wAtPjz|jarenie_baklajani_na_zimu_bez_sterilizacii-207124|c91bee6e853a20a84dcd3e434da844a9|baklagani-v-adgike-1|baklazhan-gril","Баклажани гриль по корейськи|||||||","Баклажани гриль по корейськи|||||||","Баклажани гриль по корейськи|||||||",,,Бакалія>Консервації,,,,,,publish,12,baklazhani-gril-po-korejski,,,0,0,0,open,closed,20161225,шт,1,50,1,"готівкою|переказ на картку",самовивіз|кур'єр,,,,,,,,,,,,,,,,,,,,,,,,,
